author_channel_id,community_id,community_size,grado_aa,author_name,n_comentarios,n_videos
UCgGqw4aqMdMVSGkKiMgrJRQ,2,61,31,@pattyfigueroa5609,1.0,1.0
UCgJNFj5dnxXpcMvmuhZDPxA,3,55,48,@NataliaRodriguez-rx5mr,1.0,1.0
UCgLrWFdYitoP-b7-PxtUr-w,5,25,24,@zetag,1.0,1.0
UCgLurCo-e019HGODcjXHWCw,5,25,24,@perritojuega1,1.0,1.0
UCgQJgI9vu1FI2dnC9mrFthw,2,61,18,@srms70,1.0,1.0
UCgQw_Sbq3ugruDUKsq1e0-A,3,55,48,@marlenareano-h4t,1.0,1.0
UCgvw7xIdGFupzpt1Y_BFkEA,1,126,127,@fredygarcia9151,1.0,1.0
UCh5ESQvtzyHDhCA7XyekCFA,1,126,127,@andyB5280,3.0,1.0
UChT7pzGytNd92Nmvi-zuWog,4,28,15,@sparkvalkov,1.0,1.0
UChZknRmJkeGeQk0-mQuhDOg,1,126,127,@OdilioRodríguez-c5w,1.0,1.0
UCheEJ5GZuIvV0fj-nXyVwXw,2,61,31,@rosaoliva9389,1.0,1.0
UChep9kVb5gQmpodEEl10Xlg,1,126,127,@carlosaguilar-kz7ml,1.0,1.0
UChgkn5Jt5tWKYMoEOuCjz3Q,1,126,127,@pablochitay46,1.0,1.0
UChs3tU2BcKOT0CezykvAsGw,1,126,127,@byronpontaza,3.0,1.0
UChyps3dqY-VY1_wLeq-2lhw,2,61,31,@maydamorales4395,1.0,1.0
UCi-vPdnpQreC7BkFs40mJGA,5,25,24,@bryansicasales4280,1.0,1.0
UCi1b_TRQfgO1Z9O2gNGGWNA,1,126,127,@davidisraelesquitsaquil,2.0,1.0
UCi2KiZq63sRq8Mfbcp-MelQ,6,18,17,@eugeneramirez4405,6.0,1.0
UCiC-Jn7wdgyQV4_Urk0DkWQ,3,55,48,@pedroros6358,1.0,1.0
UCiGRBf2RNF0WRKhRVT7zFoA,1,126,127,@edwinavila4876,1.0,1.0
UCiMythXHsw7eQEMykCdmMUA,1,126,127,@JavierBecerra-h6x,1.0,1.0
UCiOZX__1gahg1ypIj0_XG_w,2,61,31,@mariogonzalezorellana8956,1.0,1.0
UCipetjeiWj4CZB6EbyYziZg,1,126,127,@OseasSamayoa-ol5rz,1.0,1.0
UCj-LL25XJnjxepPKCc3NGog,1,126,127,@anaaguirre8985,1.0,1.0
UCjJf-AJKRFFWtiN-CSwkDmA,4,28,9,@2jose82,1.0,1.0
UCjSKM9j0Q7HLDr1hD6D-TUw,1,126,127,@josehidalgo4875,1.0,1.0
UCjZgFEowMBrsjodqfovzdKw,2,61,43,@franciscoflores3120,2.0,2.0
UCjmPuazZJzscrwvk0QR9RVw,1,126,127,@mynorrodas8591,1.0,1.0
UCk4O-J1BhoqPmig1KLGJePA,3,55,6,@lazarobarillas3575,1.0,1.0
UCkVtmkK07b2zaVVNssX4lOg,3,55,48,@HectorElias-u2l,1.0,1.0
UCkbsS_3D-pvg1iHOld9uvIg,3,55,48,@gonzalo6075,1.0,1.0
UCkd9W714-947dEE6ZOEBATA,1,126,127,@ARGELIATELON,2.0,1.0
UCkxdJ_yGN2gghOMo2ybQtXQ,4,28,15,@11223344An,1.0,1.0
UCl0ekS9Tt0jJGtOEM18S63w,1,126,127,@monkchapin,1.0,1.0
UCld2stqxaVSk0QdGncM224A,8,4,3,@sarahernandez3873,1.0,1.0
UClhMWQ7XKWywYvbRnuf8QsA,3,55,48,@EcPerez-zz9oh,1.0,1.0
UCljDbleJul41G1TzOjOZAVA,1,126,127,@hectorcarranza3777,1.0,1.0
UClqA491Xa5fQcXcJJa-vTWw,3,55,48,@AndresLemus-k2d,1.0,1.0
UClsrFGJKWPxxw7MiaEdKLXw,2,61,18,@ericapaz5406,1.0,1.0
UCmjppp6ujz3SAnULvP3sZMw,1,126,127,@marcomendez7509,1.0,1.0
UCmvOgzmmXbjUthHy-WJ52hQ,1,126,127,@mariorodas593,1.0,1.0
UCnU8wO1OurAmGstDw6VGjgQ,4,28,9,@cmorera21,1.0,1.0
UCoGdCoJg2Lh0OX_jv6cG16g,2,61,31,@Israel-u5i7i,2.0,1.0
UColMq7LmaoY3MT6aIDGrGvA,3,55,48,@quijotachapina1,1.0,1.0
