id,bipartite,tipo,nombre,n_comentarios,n_videos,titulo,canal,categoria
UCe8JZoYkX5oKUZyivHYdXhw,autor,autor,@FernandoGarcia-jg1fj,1.0,1.0,,,
UCeDNEtI8_a42bZ47wJiJMwQ,autor,autor,@EdgarcalderonCalderong,1.0,1.0,,,
UCeQk-WfEA-cJRq4EKeE7TOw,autor,autor,@franciscojuarez9223,1.0,1.0,,,
UCefAH1MbvADWUjE9WVcB9EQ,autor,autor,@jabriz8152,1.0,1.0,,,
UCf5lnNZF7Qrtli9v4N_23WQ,autor,autor,@CarlosCortez-v5r,1.0,1.0,,,
UCfM3nrxtTQMY5jFx1v1J4Gg,autor,autor,@edgarroldan5539,1.0,1.0,,,
UCfRqgt2O-vjzUDMZY_tnxQw,autor,autor,@Williams-Garcia67E,1.0,1.0,,,
UCfXykdbSU97rj987LDUGfvg,autor,autor,@MariaSantos-c8y3h,1.0,1.0,,,
UCfjhejO7LZy4doXURa7LZCQ,autor,autor,@HonwayLee-z5g,1.0,1.0,,,
UCfo_yUPzy1f1POwwZxhZ06Q,autor,autor,@lara11roberto,1.0,1.0,,,
UCg3eIfd7BrsLEqS0BLkftHA,autor,autor,@ErmePérez-q4s,3.0,1.0,,,
UCgGqw4aqMdMVSGkKiMgrJRQ,autor,autor,@pattyfigueroa5609,1.0,1.0,,,
UCgJNFj5dnxXpcMvmuhZDPxA,autor,autor,@NataliaRodriguez-rx5mr,1.0,1.0,,,
UCgLrWFdYitoP-b7-PxtUr-w,autor,autor,@zetag,1.0,1.0,,,
UCgLurCo-e019HGODcjXHWCw,autor,autor,@perritojuega1,1.0,1.0,,,
UCgQJgI9vu1FI2dnC9mrFthw,autor,autor,@srms70,1.0,1.0,,,
UCgQw_Sbq3ugruDUKsq1e0-A,autor,autor,@marlenareano-h4t,1.0,1.0,,,
UCgvw7xIdGFupzpt1Y_BFkEA,autor,autor,@fredygarcia9151,1.0,1.0,,,
UCh5ESQvtzyHDhCA7XyekCFA,autor,autor,@andyB5280,3.0,1.0,,,
UChT7pzGytNd92Nmvi-zuWog,autor,autor,@sparkvalkov,1.0,1.0,,,
UChZknRmJkeGeQk0-mQuhDOg,autor,autor,@OdilioRodríguez-c5w,1.0,1.0,,,
UCheEJ5GZuIvV0fj-nXyVwXw,autor,autor,@rosaoliva9389,1.0,1.0,,,
UChep9kVb5gQmpodEEl10Xlg,autor,autor,@carlosaguilar-kz7ml,1.0,1.0,,,
UChgkn5Jt5tWKYMoEOuCjz3Q,autor,autor,@pablochitay46,1.0,1.0,,,
UChs3tU2BcKOT0CezykvAsGw,autor,autor,@byronpontaza,3.0,1.0,,,
UChyps3dqY-VY1_wLeq-2lhw,autor,autor,@maydamorales4395,1.0,1.0,,,
UCi-vPdnpQreC7BkFs40mJGA,autor,autor,@bryansicasales4280,1.0,1.0,,,
UCi1b_TRQfgO1Z9O2gNGGWNA,autor,autor,@davidisraelesquitsaquil,2.0,1.0,,,
UCi2KiZq63sRq8Mfbcp-MelQ,autor,autor,@eugeneramirez4405,6.0,1.0,,,
UCiC-Jn7wdgyQV4_Urk0DkWQ,autor,autor,@pedroros6358,1.0,1.0,,,
UCiGRBf2RNF0WRKhRVT7zFoA,autor,autor,@edwinavila4876,1.0,1.0,,,
UCiMythXHsw7eQEMykCdmMUA,autor,autor,@JavierBecerra-h6x,1.0,1.0,,,
UCiOZX__1gahg1ypIj0_XG_w,autor,autor,@mariogonzalezorellana8956,1.0,1.0,,,
UCipetjeiWj4CZB6EbyYziZg,autor,autor,@OseasSamayoa-ol5rz,1.0,1.0,,,
UCj-LL25XJnjxepPKCc3NGog,autor,autor,@anaaguirre8985,1.0,1.0,,,
UCjJf-AJKRFFWtiN-CSwkDmA,autor,autor,@2jose82,1.0,1.0,,,
UCjSKM9j0Q7HLDr1hD6D-TUw,autor,autor,@josehidalgo4875,1.0,1.0,,,
UCjZgFEowMBrsjodqfovzdKw,autor,autor,@franciscoflores3120,2.0,2.0,,,
UCjmPuazZJzscrwvk0QR9RVw,autor,autor,@mynorrodas8591,1.0,1.0,,,
UCk4O-J1BhoqPmig1KLGJePA,autor,autor,@lazarobarillas3575,1.0,1.0,,,
UCkVtmkK07b2zaVVNssX4lOg,autor,autor,@HectorElias-u2l,1.0,1.0,,,
UCkbsS_3D-pvg1iHOld9uvIg,autor,autor,@gonzalo6075,1.0,1.0,,,
UCkd9W714-947dEE6ZOEBATA,autor,autor,@ARGELIATELON,2.0,1.0,,,
UCkxdJ_yGN2gghOMo2ybQtXQ,autor,autor,@11223344An,1.0,1.0,,,
UCl0ekS9Tt0jJGtOEM18S63w,autor,autor,@monkchapin,1.0,1.0,,,
UCld2stqxaVSk0QdGncM224A,autor,autor,@sarahernandez3873,1.0,1.0,,,
UClhMWQ7XKWywYvbRnuf8QsA,autor,autor,@EcPerez-zz9oh,1.0,1.0,,,
UCljDbleJul41G1TzOjOZAVA,autor,autor,@hectorcarranza3777,1.0,1.0,,,
UClqA491Xa5fQcXcJJa-vTWw,autor,autor,@AndresLemus-k2d,1.0,1.0,,,
UClsrFGJKWPxxw7MiaEdKLXw,autor,autor,@ericapaz5406,1.0,1.0,,,
UCmjppp6ujz3SAnULvP3sZMw,autor,autor,@marcomendez7509,1.0,1.0,,,
UCmvOgzmmXbjUthHy-WJ52hQ,autor,autor,@mariorodas593,1.0,1.0,,,
