nodo,grado,grado_ponderado,betweenness,closeness,pagerank,red,eigenvector_comp_mayor,tipo
UCOh6DaZC_x9HASnlRylEMfw,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCPLW0HE3siElqCgXfgWxMqg,1,1,0.0,0.002857142857142857,0.002849002849002849,Bipartita,,autor
UCPNXmbOBVeC4HS-xemvcPtQ,1,1,0.0,0.026448979591836733,0.0012806576023992745,Bipartita,,autor
UCPZueDLrCS4BmTBRMA4q0fA,1,1,0.0,0.170640756302521,0.0012735810348890395,Bipartita,0.00041358525581382504,autor
UCQIdKuZ-OzuFqy0KjGrgesg,1,1,0.0,0.005142857142857143,0.0019761768014137345,Bipartita,,autor
UCQM2tCKRRytVDRxNUfCDqQQ,1,1,0.0,0.002857142857142857,0.002849002849002849,Bipartita,,autor
UCQMMuADgqWUOcJpLwHOzC-g,1,1,0.0,0.026448979591836733,0.0012806576023992745,Bipartita,,autor
UCQ_-LPP8JAbfkc-b1Q6NvWw,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCQgYjVngJRfPHDLGB5X6ZjA,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCQqetiwzzmRNTM5OWuXarGQ,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCQqlPPUGqAfWjd-FSh_qn7Q,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCQtICyzWmhC5woCtbNgaSmg,1,2,0.0,0.22186561048893746,0.0021930837660868027,Bipartita,0.08853403253039882,autor
UCQtSFINs1h6GHkpg9o5kMvg,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCQyOePccUP-fIJYzchAgZYw,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCRAquv8el-tQ30bN7MlmySQ,1,1,0.0,0.17422779922779924,0.0015012876402744307,Bipartita,0.0006549010269817852,autor
UCRETAiYdh2dL5ZxB0_N1zDA,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
UCRcSR3Lvn9DZAmJpVPANfZQ,1,1,0.0,0.03644314868804665,0.0015921333404745244,Bipartita,,autor
UCRelkU8JiZBytTzebJxaa-w,1,1,0.0,0.22186561048893746,0.0013102170967186151,Bipartita,0.04426701626519941,autor
