author_channel_id,author_name,n_comentarios,n_videos,grado
UCiMythXHsw7eQEMykCdmMUA,@JavierBecerra-h6x,1.0,1.0,127
UCiOZX__1gahg1ypIj0_XG_w,@mariogonzalezorellana8956,1.0,1.0,31
UCipetjeiWj4CZB6EbyYziZg,@OseasSamayoa-ol5rz,1.0,1.0,127
UCj-LL25XJnjxepPKCc3NGog,@anaaguirre8985,1.0,1.0,127
UCjJf-AJKRFFWtiN-CSwkDmA,@2jose82,1.0,1.0,9
UCjSKM9j0Q7HLDr1hD6D-TUw,@josehidalgo4875,1.0,1.0,127
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,2.0,2.0,43
UCjmPuazZJzscrwvk0QR9RVw,@mynorrodas8591,1.0,1.0,127
UCk4O-J1BhoqPmig1KLGJePA,@lazarobarillas3575,1.0,1.0,6
UCkVtmkK07b2zaVVNssX4lOg,@HectorElias-u2l,1.0,1.0,48
UCkbsS_3D-pvg1iHOld9uvIg,@gonzalo6075,1.0,1.0,48
UCkd9W714-947dEE6ZOEBATA,@ARGELIATELON,2.0,1.0,127
UCkxdJ_yGN2gghOMo2ybQtXQ,@11223344An,1.0,1.0,15
UCl0ekS9Tt0jJGtOEM18S63w,@monkchapin,1.0,1.0,127
UCld2stqxaVSk0QdGncM224A,@sarahernandez3873,1.0,1.0,3
UClhMWQ7XKWywYvbRnuf8QsA,@EcPerez-zz9oh,1.0,1.0,48
UCljDbleJul41G1TzOjOZAVA,@hectorcarranza3777,1.0,1.0,127
UClqA491Xa5fQcXcJJa-vTWw,@AndresLemus-k2d,1.0,1.0,48
UClsrFGJKWPxxw7MiaEdKLXw,@ericapaz5406,1.0,1.0,18
UCmjppp6ujz3SAnULvP3sZMw,@marcomendez7509,1.0,1.0,127
UCmvOgzmmXbjUthHy-WJ52hQ,@mariorodas593,1.0,1.0,127
UCnU8wO1OurAmGstDw6VGjgQ,@cmorera21,1.0,1.0,9
UCoGdCoJg2Lh0OX_jv6cG16g,@Israel-u5i7i,2.0,1.0,31
UColMq7LmaoY3MT6aIDGrGvA,@quijotachapina1,1.0,1.0,48
UCozFYHN0e_-vlQbX3wQGOug,@jesusguzman2321,1.0,1.0,17
UCp29O_C7cchZV8IxV7Crdag,@robertoescobar5507,2.0,1.0,31
